Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1997,1,27,Rae Carruth,WR,1999,0,0,1,8,22,,,,,,7,27,0,62,804,4,,,Colorado
1997,2,56,Mike Minter,DB,2006,0,0,9,53,148,,,,,,,,,,,,17,11.0,Nebraska
1997,3,87,Kinnon Tatum,LB,1998,0,0,0,2,31,,,,,,,,,,,,,,Notre Dame
1997,4,122,Tarek Saleh,LB,2001,0,0,0,4,59,,,,,,,,,1,22,0,,1.0,Wisconsin
1997,6,189,Matt Finkes,DE,1997,0,0,0,1,8,,,,,,,,,,,,,,Ohio St.
1997,7,228,Kris Mangum,TE,2006,0,0,4,20,126,,,,,,,,,151,1424,9,,,Mississippi
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1996,1,8,Tim Biakabutuka,RB,2001,0,0,2,26,50,,,,,,611,2530,14,77,789,3,,,Michigan
1996,2,43,Muhsin Muhammad,WR,2009,1,2,12,82,202,,,,,,11,64,0,860,11438,62,,,Michigan St.
1996,3,73,Winslow Oliver,RB,2000,0,0,0,6,64,,,,,,56,215,0,29,265,0,,,New Mexico
1996,3,88,J.C. Price,DT,,0,0,0,,,,,,,,,,,,,,,,Virginia Tech
1996,4,106,Norbert Davidds-Garrido,T,2000,0,0,3,18,68,,,,,,,,,,,,,,USC
1996,4,111,Emmanuel McDaniel,DB,2003,0,0,0,10,75,,,,,,,,,,,,8,1.0,East Carolina
1996,5,142,Marquette Smith,RB,,0,0,0,,,,,,,,,,,,,,,,Central Florida
1996,6,193,Scott Greene,RB,1999,0,0,1,4,34,,,,,,45,157,1,44,290,2,,,Michigan St.
1996,7,217,Donnell Baker,WR,,0,0,0,,,,,,,,,,,,,,,,Southern
1996,7,234,Kerry Hicks,DE,1997,0,0,0,0,2,,,,,,,,,,,,,,Colorado
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1995,1,5,Kerry Collins,QB,2011,0,2,11,85,197,3487,6261,40922,208,196,374,686,10,2,-13,0,,,Penn St.
1995,1,22,Tyrone Poole,DB,2008,0,0,7,43,144,,,,,,,,,,,,18,6.0,Fort Valley St.
1995,1,29,Blake Brockermeyer,T,2003,0,0,7,38,136,,,,,,,,,,,,,,Texas
1995,2,36,Shawn King,DE,1999,0,0,1,9,47,,,,,,,,,,,,1,8.5,La-Monroe
1995,4,132,Frank Garcia,C,2003,0,0,5,31,125,,,,,,,,,,,,,,Washington
1995,5,135,Michael Senters,DB,,0,0,0,,,,,,,,,,,,,,,,Northwestern
1995,5,171,Andrew Peterson,T,1995,0,0,0,1,4,,,,,,,,,,,,,,Washington
1995,6,188,Steve Strahan,DT,,0,0,0,,,,,,,,,,,,,,,,Baylor
1995,6,191,Jerry Colquitt,QB,,0,0,0,,,,,,,,,,,,,,,,Tennessee
1995,7,209,Chad Cota,DB,2002,0,0,5,34,125,,,,,,,,,,,,15,4.0,Oregon
1995,7,249,Michael Reed,DB,1996,0,0,0,0,3,,,,,,,,,,,,,,Boston Col.
