Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1998,6,177,Todd Pollack,TE,,0,0,0,,,,,,,,,,,,,,,,Boston Col.
1998,7,213,Ben Fricke,C,2001,0,0,0,2,16,,,,,,,,,,,,,,Houston
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1997,1,7,Ike Hilliard,WR,2008,0,0,8,43,161,,,,,,16,126,0,546,6397,35,,,Florida
1997,2,36,Tiki Barber,RB,2006,1,3,7,100,154,0,1,0,0,0,2217,10449,55,586,5183,12,,,Virginia
1997,3,68,Ryan Phillips,LB,2001,0,0,2,19,71,,,,,,,,,,,,4,3.5,Idaho
1997,3,95,Brad Maynard,P,2011,0,0,14,0,238,5,8,94,2,0,4,5,0,,,,,,Ball St.
1997,4,103,Pete Monty,LB,2001,0,0,0,5,52,,,,,,,,,,,,,2.0,Wisconsin
1997,5,136,Sam Garnes,DB,2003,0,0,7,39,106,,,,,,,,,,,,10,3.0,Cincinnati
1997,6,171,Mike Cherry,QB,1998,0,0,0,0,2,0,1,0,0,0,4,-5,0,,,,,,Murray St.
1997,7,208,Matt Keneley,DT,1999,0,0,0,0,7,,,,,,,,,,,,,,USC
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1996,1,5,Cedric Jones,DE,2000,0,0,2,20,73,,,,,,,,,,,,,15.0,Oklahoma
1996,2,34,Amani Toomer,WR,2008,0,0,10,66,190,0,1,0,0,0,12,110,1,668,9497,54,,,Michigan
1996,3,66,Roman Oben,T,2007,0,0,8,47,143,,,,,,,,,,,,,,Louisville
1996,4,130,Danny Kanell,QB,2003,0,0,2,13,43,491,956,5129,31,34,44,49,0,,,,,,Florida St.
1996,6,171,Doug Colman,LB,2000,0,0,0,4,64,,,,,,,,,,,,,,Nebraska
1996,6,182,Scott Galyon,LB,2002,0,0,0,9,95,,,,,,,,,,,,1,6.0,Tennessee
1996,7,214,Conrad Hamilton,DB,2001,0,0,1,11,54,,,,,,,,,,,,3,1.0,East. New Mexico
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
