Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,5,154,Donnie Nickey,DB,2010,0,0,0,8,123,,,,,,1,0,0,1,26,0,,1.0,Ohio St.
2003,7,225,Todd Williams,G,2005,0,0,0,0,7,,,,,,,,,,,,,,Florida St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,15,Albert Haynesworth,DT,2011,2,2,7,58,123,,,,,,,,,,,,,30.5,Tennessee
2002,2,45,Tank Williams,DB,2007,0,0,4,21,70,,,,,,,,,,,,5,3.5,Stanford
2002,3,77,Rocky Calmus,LB,2004,0,0,1,7,27,,,,,,,,,,,,2,1.0,Oklahoma
2002,4,110,Mike Echols,DB,2003,0,0,0,0,9,,,,,,,,,,,,,,Wisconsin
2002,4,115,Tony Beckham,DB,2007,0,0,0,6,56,,,,,,,,,,,,1,,Wisc-Stout
2002,4,133,Rocky Boiman,LB,2009,0,0,2,16,103,,,,,,,,,,,,5,1.5,Notre Dame
2002,5,151,Jake Schifino,WR,2004,0,0,0,0,14,,,,,,,,,,,,,,Akron
2002,6,187,Justin Hartwig,C,2009,0,0,6,35,99,,,,,,,,,,,,,,Kansas
2002,7,225,Darrell Hill,WR,2004,0,0,0,0,33,,,,,,,,,,,,,,Northern Illinois
2002,7,240,Carlos Hall,DE,2005,0,0,2,18,59,,,,,,,,,,,,,14.5,Arkansas
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,2,60,Andre Dyson,DB,2007,0,0,5,32,96,,,,,,,,,,,,22,1.0,Utah
2001,3,90,Shad Meier,TE,2005,0,0,0,8,53,,,,,,,,,42,334,3,,,Kansas St.
2001,4,124,Justin McCareins,WR,2008,0,0,5,33,114,,,,,,8,42,0,240,3676,16,,,Northern Illinois
2001,5,159,Eddie Berlin,WR,2005,0,0,0,3,62,,,,,,,,,26,379,2,,,Northern Iowa
2001,6,192,Dan Alexander,RB,2003,0,0,0,0,11,,,,,,,,,,,,,,Nebraska
2001,6,199,Adam Haayer,T,2005,0,0,0,3,20,,,,,,,,,,,,,,Minnesota
2001,7,232,Keith Adams,LB,2007,0,0,1,19,85,,,,,,,,,,,,,,Clemson
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,1,30,Keith Bulluck,LB,2010,1,1,9,74,170,,,,,,,,,,,,21,18.0,Syracuse
2000,3,68,Erron Kinney,TE,2005,0,0,6,24,83,,,,,,,,,178,1750,10,,,Florida
2000,3,93,Byron Frisch,DE,2002,0,0,0,2,23,,,,,,,,,,,,,5.0,BYU
2000,4,124,Bobby Myers,DB,2001,0,0,0,3,17,,,,,,,,,,,,,,Wisconsin
2000,4,128,Peter Sirmon,LB,2006,0,0,4,25,81,,,,,,,,,,,,4,5.0,Oregon
2000,5,135,Aric Morris,DB,2003,0,0,1,6,51,,,,,,,,,,,,1,1.5,Michigan St.
2000,5,160,Frank Chamberlin,LB,2005,0,0,0,5,57,,,,,,,,,,,,,1.0,Boston Col.
2000,6,197,Robaire Smith,DE,2010,0,0,6,37,135,,,,,,,,,,,,,21.0,Michigan St.
