Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,6,180,Mario Edwards,DB,2004,0,0,3,22,73,,,,,,,,,,,,4,,Florida St.
2000,7,219,Orantes Grant,LB,2003,0,0,0,2,26,,,,,,,,,,,,,,Georgia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1999,1,20,Ebenezer Ekuban,DE,2008,0,0,5,37,122,,,,,,,,,,,,,36.5,North Carolina
1999,2,55,Solomon Page,G,2003,0,0,3,17,67,,,,,,,,,,,,,,West Virginia
1999,3,85,Dat Nguyen,LB,2005,0,0,4,38,90,,,,,,,,,,,,7,6.0,Texas A&M
1999,4,118,Wane McGarity,WR,2001,0,0,0,6,31,,,,,,6,49,1,39,363,1,,,Texas
1999,4,132,Peppi Zellner,DE,2004,0,0,2,19,89,,,,,,,,,,,,,9.0,Fort Valley St.
1999,6,193,MarTay Jenkins,WR,2002,0,0,0,11,40,,,,,,7,6,0,70,987,4,,,Nebraska-Omaha
1999,7,229,Mike Lucky,TE,2002,0,0,0,4,46,,,,,,,,,19,143,1,,,Arizona
1999,7,243,Kelvin Garmon,G,2004,0,0,3,18,52,,,,,,,,,,,,,,Baylor
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1998,1,8,Greg Ellis,DE,2009,0,1,12,69,176,,,,,,,,,,,,4,84.0,North Carolina
1998,2,38,Flozell Adams,T,2010,0,5,12,75,198,,,,,,,,,,,,,,Michigan St.
1998,4,100,Michael Myers,DT,2007,0,0,3,36,138,,,,,,,,,,,,1,15.5,Alabama
1998,5,130,Darren Hambrick,LB,2002,0,0,4,31,76,,,,,,,,,,,,3,3.5,South Carolina
1998,5,138,Oliver Ross,T,2006,0,0,3,24,89,,,,,,,,,,,,,,Iowa St.
1998,6,188,Izell Reese,DB,2004,0,0,3,21,93,,,,,,,,,,,,8,3.5,Ala-Birmingham
1998,7,223,Tarik Smith,RB,,0,0,0,,,,,,,,,,,,,,,,California
1998,7,227,Antonio Fleming,G,,0,0,0,,,,,,,,,,,,,,,,Georgia
1998,7,237,Rodrick Monroe,TE,2001,0,0,0,1,9,,,,,,,,,1,8,0,,,Cincinnati
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1997,1,22,David LaFleur,TE,2000,0,0,3,13,60,,,,,,,,,85,729,12,,,LSU
1997,3,65,Dexter Coakley,LB,2006,0,3,9,66,155,,,,,,2,59,0,,,,13,9.5,Appalachian St.
1997,3,83,Steve Scifres,G,1998,0,0,0,0,7,,,,,,,,,,,,,,Wyoming
1997,3,94,Kenny Wheaton,DB,1999,0,0,0,2,22,,,,,,,,,,,,1,,Oregon
1997,4,101,Antonio Anderson,DT,1998,0,0,0,4,21,,,,,,,,,,,,,2.0,Syracuse
1997,4,127,Macey Brooks,WR,2000,0,0,0,2,25,,,,,,1,7,0,40,376,0,,,James Madison
1997,4,129,Nicky Sualua,RB,1998,0,0,0,0,26,,,,,,,,,,,,,,Ohio St.
1997,6,187,Lee Vaughn,DB,,0,0,0,,,,,,,,,,,,,,,,Wyoming
1997,7,224,Omar Stoutmire,DB,2007,0,0,4,27,135,,,,,,,,,,,,7,5.0,Fresno St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1996,2,37,Kavika Pittman,DE,2003,0,0,5,35,108,,,,,,,,,,,,,18.0,McNeese St.
1996,2,49,Randall Godfrey,LB,2007,0,0,9,71,170,,,,,,,,,,,,6,17.0,Georgia
1996,3,67,Clay Shiver,C,1998,0,0,2,11,44,,,,,,,,,,,,,,Florida St.
1996,3,94,Stepfret Williams,WR,1998,0,0,0,3,26,,,,,,,,,37,421,2,,,La-Monroe
1996,3,95,Mike Ulufale,DT,1996,0,0,0,0,3,,,,,,,,,,,,,,BYU
1996,5,157,Kenneth McDaniel,T,,0,0,0,,,,,,,,,,,,,,,,Norfolk St.
1996,5,167,Alan Campos,LB,1996,0,0,0,1,15,,,,,,,,,,,,,,Louisville
1996,6,207,Wendell Davis,DB,1999,0,0,0,2,34,,,,,,,,,,,,,,Oklahoma
1996,7,243,Ryan Wood,RB,,0,0,0,,,,,,,,,,,,,,,,Arizona St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1995,2,46,Sherman Williams,RB,1999,0,0,0,10,60,0,1,0,0,0,302,1162,4,40,332,0,,,Alabama
1995,2,59,Kendell Watkins,TE,1995,0,0,0,1,16,,,,,,,,,1,8,0,,,Mississippi St.
1995,2,63,Shane Hannah,G,,0,0,0,,,,,,,,,,,,,,,,Michigan St.
1995,3,92,Charlie Williams,DB,2000,0,0,0,8,81,,,,,,,,,,,,1,2.0,Bowling Green
1995,4,110,Eric Bjornson,TE,2000,0,0,2,19,82,,,,,,2,27,2,147,1384,6,,,Washington
1995,4,129,Alundis Brice,DB,1996,0,0,0,2,25,,,,,,,,,,,,1,,Mississippi
1995,4,130,Linc Harden,LB,,0,0,0,,,,,,,,,,,,,,,,Oklahoma St.
1995,5,166,Edward Hervey,WR,,0,0,0,,,,,,,,,,,,,,,,USC
1995,5,168,Dana Howard,LB,1996,0,0,0,1,19,,,,,,,,,,,,,,Illinois
1995,7,236,Oscar Sturgis,DE,1995,0,0,0,0,1,,,,,,,,,,,,,,North Carolina
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1994,1,23,Shante Carver,DE,1997,0,0,2,15,52,,,,,,,,,,,,,11.5,Arizona St.
