Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,5,162,Pat Dennis,DB,2004,0,0,1,8,41,,,,,,,,,,,,1,,La-Monroe
2000,6,188,Darnell Alford,G,2001,0,0,0,0,3,,,,,,,,,,,,,,Boston Col.
2000,7,208,Desmond Kitchings,WR,,0,0,0,,,,,,,,,,,,,,,,Furman
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1999,1,14,John Tait,T,2008,0,0,9,49,148,,,,,,1,28,0,,,,,,BYU
1999,2,54,Mike Cloud,RB,2005,0,0,0,6,78,,,,,,193,648,12,13,100,0,,,Boston Col.
1999,3,75,Gary Stills,DE,2008,0,1,0,14,134,,,,,,,,,,,,,8.5,West Virginia
1999,3,84,Larry Atkins,LB,2003,0,0,0,4,49,,,,,,,,,,,,,,UCLA
1999,4,108,Larry Parker,WR,2001,0,0,0,2,38,,,,,,4,-1,0,18,240,2,,,USC
1999,7,220,Eric King,G,,0,0,0,,,,,,,,,,,,,,,,Richmond
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1998,1,27,Victor Riley,T,2005,0,0,5,39,111,,,,,,,,,,,,,,Auburn
1998,3,88,Rashaan Shehee,RB,1999,0,0,0,4,25,,,,,,87,295,1,28,209,0,,,Washington
1998,4,120,Greg Favors,LB,2005,0,0,4,28,101,,,,,,,,,,,,1,14.5,Mississippi St.
1998,5,128,Robert Williams,DB,1999,0,0,0,1,18,,,,,,,,,,,,,0.5,North Carolina
1998,6,181,Derrick Ransom,DT,2004,0,0,2,12,71,,,,,,,,,,,,,4.5,Cincinnati
1998,7,216,Eric Warfield,DB,2005,0,0,5,31,115,,,,,,,,,,,,20,1.0,Nebraska
1998,7,224,Ernest Blackwell,RB,,0,0,0,,,,,,,,,,,,,,,,Missouri
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1997,1,13,Tony Gonzalez,TE,2012,6,13,15,115,254,1,1,40,0,0,2,14,0,1242,14268,103,,,California
1997,2,47,Kevin Lockett,WR,2003,0,0,0,17,86,2,2,45,2,0,,,,130,1738,8,,,Kansas St.
1997,4,110,Pat Barnes,QB,1999,0,0,0,0,1,,,,,,,,,,,,,,California
